epoch,loss,val_loss,Model,Crypto,Data %,File
9,0.1232552751898765,0.0041855867020785,RNN,BTC,0.1,rnn_btc_log_0_1pct.csv
0,1032.76220703125,246716.71875,RNN,BTC,10.0,rnn_btc_log_10pct.csv
1,48.36063003540039,208575.859375,RNN,BTC,10.0,rnn_btc_log_10pct.csv
2,41.295806884765625,199786.28125,RNN,BTC,10.0,rnn_btc_log_10pct.csv
3,38.892520904541016,192603.0,RNN,BTC,10.0,rnn_btc_log_10pct.csv
4,36.53433227539063,190301.296875,RNN,BTC,10.0,rnn_btc_log_10pct.csv
5,34.93220901489258,190512.390625,RNN,BTC,10.0,rnn_btc_log_10pct.csv
6,33.07181930541992,187719.875,RNN,BTC,10.0,rnn_btc_log_10pct.csv
7,31.64989280700684,184386.53125,RNN,BTC,10.0,rnn_btc_log_10pct.csv
8,30.337631225585938,183425.265625,RNN,BTC,10.0,rnn_btc_log_10pct.csv
9,28.91605758666992,182283.40625,RNN,BTC,10.0,rnn_btc_log_10pct.csv
0,1.196673035621643,0.0180838741362094,RNN,BTC,1.0,rnn_btc_log_1pct.csv
1,0.315376341342926,0.0072020888328552,RNN,BTC,1.0,rnn_btc_log_1pct.csv
2,0.2648339867591858,0.0657675862312316,RNN,BTC,1.0,rnn_btc_log_1pct.csv
3,0.2417037636041641,0.0057876165956258,RNN,BTC,1.0,rnn_btc_log_1pct.csv
4,0.2239358723163604,0.1873313337564468,RNN,BTC,1.0,rnn_btc_log_1pct.csv
5,0.2046403437852859,0.008293917402625,RNN,BTC,1.0,rnn_btc_log_1pct.csv
6,0.1885361969470977,0.0081112645566463,RNN,BTC,1.0,rnn_btc_log_1pct.csv
7,0.1721839606761932,0.0043935058638453,RNN,BTC,1.0,rnn_btc_log_1pct.csv
8,0.1538884490728378,0.0155552942305803,RNN,BTC,1.0,rnn_btc_log_1pct.csv
9,0.1402394026517868,0.0037744641304016,RNN,BTC,1.0,rnn_btc_log_1pct.csv
0,37.65898513793945,5.588863849639893,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
1,1.9857834577560425,0.3060885071754455,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
2,0.7875803709030151,0.1256715953350067,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
3,0.7647936344146729,0.1289669275283813,RNN,ETH,0.1,rnn_eth_log_0_1pct.csv
